date,MSFT,SONY,TSLA,AAPL,NFLX
3/19/2017,10,18,5,18,11
3/26/2017,9,17,7,19,11
4/2/2017,5,17,12,17,7
4/9/2017,7,16,8,14,7
4/16/2017,8,18,10,17,20
4/23/2017,19,17,9,19,13
4/30/2017,11,17,16,32,9
5/7/2017,9,17,12,25,9
5/14/2017,11,16,8,23,11
5/21/2017,9,15,8,23,7
5/28/2017,10,16,8,12,6
6/4/2017,13,16,12,21,12
6/11/2017,11,25,9,25,9
6/18/2017,7,18,9,18,8
6/25/2017,4,18,9,16,16
7/2/2017,6,16,14,11,5
7/9/2017,10,17,9,13,12
7/16/2017,19,16,9,15,36
7/23/2017,11,15,7,17,7
7/30/2017,13,16,15,38,8
8/6/2017,11,18,9,19,7
8/13/2017,7,16,7,18,8
8/20/2017,5,15,7,15,6
8/27/2017,12,16,5,18,11
9/3/2017,3,12,2,10,5
9/10/2017,10,13,7,22,10
9/17/2017,11,15,6,18,7
9/24/2017,12,14,5,19,9
10/1/2017,7,14,8,13,11
10/8/2017,11,15,6,14,11
10/15/2017,8,16,7,15,27
10/22/2017,20,17,6,17,13
10/29/2017,14,14,12,41,12
11/5/2017,14,18,7,22,11
11/12/2017,9,18,9,20,6
11/19/2017,11,31,7,13,5
11/26/2017,16,25,5,23,9
12/3/2017,16,20,4,19,14
12/10/2017,15,18,8,17,10
12/17/2017,13,20,6,19,8
12/24/2017,19,23,5,17,8
12/31/2017,17,20,8,17,11
1/7/2018,15,19,6,19,11
1/14/2018,15,18,4,23,14
1/21/2018,19,17,7,23,43
1/28/2018,28,17,5,41,26
2/4/2018,25,17,13,38,25
2/11/2018,16,14,8,31,17
2/18/2018,18,15,5,19,10
2/25/2018,11,17,6,26,18
3/4/2018,17,16,7,26,33
3/11/2018,15,16,5,19,23
3/18/2018,21,16,5,22,21
3/25/2018,23,15,16,16,31
4/1/2018,15,16,17,20,24
4/8/2018,12,16,9,16,27
4/15/2018,18,15,10,22,46
4/22/2018,30,18,7,25,23
4/29/2018,21,15,16,43,23
5/6/2018,18,17,10,27,18
5/13/2018,18,16,8,18,12
5/20/2018,13,16,9,17,22
5/27/2018,16,17,7,16,18
6/3/2018,20,18,9,28,24
6/10/2018,18,23,10,16,25
6/17/2018,13,15,12,16,36
6/24/2018,14,16,9,14,36
7/1/2018,17,17,12,14,17
7/8/2018,17,17,8,14,42
7/15/2018,32,16,7,13,100
7/22/2018,30,16,10,17,39
7/29/2018,26,16,19,53,39
8/5/2018,18,17,28,23,24
8/12/2018,24,16,17,22,22
8/19/2018,14,15,18,23,32
8/26/2018,18,18,11,23,28
9/2/2018,13,17,20,20,14
9/9/2018,14,15,17,25,21
9/16/2018,24,17,12,20,21
9/23/2018,24,16,19,22,23
9/30/2018,16,17,25,23,23
10/7/2018,23,15,15,25,27
10/14/2018,18,16,15,24,54
10/21/2018,35,21,25,24,35
10/28/2018,19,15,12,46,24
11/4/2018,16,17,11,33,20
11/11/2018,19,17,8,34,22
11/18/2018,17,27,7,32,28
11/25/2018,22,22,8,37,17
12/2/2018,26,17,8,29,21
12/9/2018,14,18,9,27,22
12/16/2018,26,19,8,27,24
12/23/2018,23,21,11,29,22
12/30/2018,21,18,11,56,24
1/6/2019,16,18,7,34,35
1/13/2019,17,20,9,21,64
1/20/2019,17,17,11,21,24
1/27/2019,39,15,13,41,19
2/3/2019,24,17,8,27,22
2/10/2019,19,15,8,24,20
2/17/2019,12,15,11,17,9
2/24/2019,23,14,18,17,17
3/3/2019,14,14,18,18,11
3/10/2019,19,14,16,22,10
3/17/2019,22,15,17,28,17
3/24/2019,21,15,14,26,14
3/31/2019,22,14,18,25,22
4/7/2019,21,15,14,25,19
4/14/2019,19,14,12,20,41
4/21/2019,43,13,27,24,31
4/28/2019,27,14,22,34,17
5/5/2019,21,15,18,27,16
5/12/2019,17,16,17,24,13
5/19/2019,18,15,31,22,12
5/26/2019,11,15,21,17,8
6/2/2019,27,16,22,20,16
6/9/2019,21,18,18,15,10
6/16/2019,25,14,15,14,15
6/23/2019,21,15,11,19,10
6/30/2019,19,16,15,18,13
7/7/2019,21,14,9,17,14
7/14/2019,52,18,9,16,41
7/21/2019,24,15,17,16,25
7/28/2019,21,17,10,26,15
8/4/2019,21,16,7,18,17
8/11/2019,28,16,6,20,14
8/18/2019,22,27,8,22,12
8/25/2019,21,36,5,15,8
9/1/2019,16,100,5,8,7
9/8/2019,26,63,6,24,16
9/15/2019,25,64,6,17,16
9/22/2019,28,40,8,17,19
9/29/2019,22,16,8,18,11
10/6/2019,21,15,6,18,9
10/13/2019,32,14,6,18,31
10/20/2019,54,15,17,25,15
10/27/2019,38,16,13,34,14
11/3/2019,40,16,8,21,11
11/10/2019,29,17,10,21,10
11/17/2019,26,18,15,21,18
11/24/2019,24,25,7,15,11
12/1/2019,26,22,6,19,10
12/8/2019,23,17,11,20,9
12/15/2019,28,17,16,25,11
12/22/2019,28,22,17,19,10
12/29/2019,26,16,17,26,8
1/5/2020,38,19,23,30,15
1/12/2020,35,18,30,31,14
1/19/2020,32,16,25,23,30
1/26/2020,59,14,38,45,13
2/2/2020,48,15,83,28,11
2/9/2020,71,14,39,27,11
2/16/2020,42,14,36,27,10
2/23/2020,79,13,43,47,15
3/1/2020,70,13,30,47,8
3/8/2020,86,12,37,53,12
3/15/2020,82,13,34,52,14
3/22/2020,72,14,27,46,21
3/29/2020,64,13,23,29,12
4/5/2020,49,14,17,25,9
4/12/2020,50,15,32,31,28
4/19/2020,50,15,20,27,53
4/26/2020,79,14,40,41,21
5/3/2020,54,14,25,26,11
5/10/2020,39,15,24,27,13
5/17/2020,43,15,16,23,12
5/24/2020,45,16,15,20,17
5/31/2020,38,14,20,20,10
6/7/2020,57,20,31,32,13
6/14/2020,47,16,19,27,11
6/21/2020,53,16,18,33,12
6/28/2020,34,16,26,25,10
7/5/2020,45,16,41,26,20
7/12/2020,64,17,54,29,53
7/19/2020,97,16,58,23,19
7/26/2020,64,17,32,47,16
8/2/2020,78,17,21,43,15
8/9/2020,62,15,36,45,9
8/16/2020,47,16,58,49,13
8/23/2020,69,15,54,63,13
8/30/2020,75,16,100,100,12
9/6/2020,57,17,74,77,10
9/13/2020,54,21,61,68,17
9/20/2020,44,17,70,64,10
9/27/2020,34,15,44,55,8
10/4/2020,41,16,35,47,14
10/11/2020,38,17,35,66,12
10/18/2020,32,16,48,39,22
10/25/2020,61,16,29,53,12
11/1/2020,30,13,23,39,7
11/8/2020,44,26,30,48,11
11/15/2020,34,27,55,39,8
11/22/2020,30,28,44,31,11
11/29/2020,41,21,56,48,9
12/6/2020,31,22,60,39,5
12/13/2020,36,24,52,40,7
12/20/2020,27,21,46,39,4
12/27/2020,28,20,41,42,7
1/3/2021,41,16,64,43,6
1/10/2021,28,20,61,39,8
1/17/2021,33,16,35,38,33
1/24/2021,79,16,56,79,15
1/31/2021,52,16,42,55,8
2/7/2021,41,14,39,40,8
2/14/2021,29,13,34,34,8
2/21/2021,43,14,64,48,6
2/28/2021,38,14,53,49,4
3/7/2021,46,14,68,53,6
3/14/2021,34,15,37,40,4
3/21/2021,33,15,46,37,8
3/28/2021,37,13,35,33,6
4/4/2021,37,14,41,40,3
4/11/2021,43,14,39,44,8
4/18/2021,34,13,33,36,35
4/25/2021,57,14,40,46,8
5/2/2021,36,14,27,36,4
5/9/2021,39,14,34,28,7
5/16/2021,31,14,40,30,5
5/23/2021,23,13,29,26,5
5/30/2021,23,14,24,21,8
6/6/2021,31,15,25,26,3
6/13/2021,20,15,19,26,9
6/20/2021,32,16,23,24,5
6/27/2021,33,14,24,30,6
7/4/2021,30,14,17,33,5
7/11/2021,37,14,20,33,8
7/18/2021,27,14,18,28,14
7/25/2021,42,14,33,38,9
8/1/2021,26,14,24,27,6
8/8/2021,27,13,21,29,6
8/15/2021,27,15,23,30,4
8/22/2021,30,17,17,24,7
8/29/2021,27,14,19,29,8
9/5/2021,22,14,15,26,8
9/12/2021,26,15,16,27,4
9/19/2021,27,14,14,31,4
9/26/2021,34,14,21,25,7
10/3/2021,30,13,19,24,8
10/10/2021,23,15,20,23,5
10/17/2021,33,15,33,23,20
10/24/2021,58,15,55,34,8
10/31/2021,36,15,54,30,8
11/7/2021,34,17,55,23,8
11/14/2021,45,16,37,28,6
11/21/2021,37,21,30,26,5
11/28/2021,45,19,32,34,1
12/5/2021,49,17,33,43,5
12/12/2021,50,18,34,37,2
12/19/2021,32,18,36,30,6
12/26/2021,49,18,32,35,6
1/2/2022,53,18,42,31,4
1/9/2022,54,16,32,27,9
1/16/2022,57,17,25,26,37
1/23/2022,100,14,44,46,26
1/30/2022,49,17,33,37,22
2/6/2022,48,13,24,31,8
2/13/2022,47,14,25,27,9
2/20/2022,45,13,28,30,5
2/27/2022,40,12,26,26,7
3/6/2022,52,12,26,35,8
